"","word","len","model","prompt","prompt_id","output","correct_answer","out_letters","answer_grep","set","token_size"
"34","Dance",5,"text-davinci-003","Spell the word Dance backwards",1,"

eDnac","ECNAD","EDNAC",FALSE,"real_words",NA
"35","Eaten",5,"text-davinci-003","Spell the word Eaten backwards",1,"

neetaE","NETAE","NEETAE",FALSE,"real_words",NA
"36","Floor",5,"text-davinci-003","Spell the word Floor backwards",1,"

Roolf","ROOLF","ROOLF",TRUE,"real_words",NA
"37","Glass",5,"text-davinci-003","Spell the word Glass backwards",1,"

ssalG","SSALG","SSALG",TRUE,"real_words",NA
"38","House",5,"text-davinci-003","Spell the word House backwards",1,"

esuoH","ESUOH","ESUOH",TRUE,"real_words",NA
"39","Image",5,"text-davinci-003","Spell the word Image backwards",1,"

egami","EGAMI","EGAMI",TRUE,"real_words",NA
"40","Juice",5,"text-davinci-003","Spell the word Juice backwards",1,"

eucsJ","ECIUJ","EUCSJ",FALSE,"real_words",NA
"41","Bumble",6,"text-davinci-003","Spell the word Bumble backwards",1,"

elbmub","ELBMUB","ELBMUB",TRUE,"real_words",NA
"42","Cuddle",6,"text-davinci-003","Spell the word Cuddle backwards",1,"

eddlluc","ELDDUC","EDDLLUC",FALSE,"real_words",NA
"43","Flurry",6,"text-davinci-003","Spell the word Flurry backwards",1,"

yrrulf","YRRULF","YRRULF",TRUE,"real_words",NA
"44","Giggle",6,"text-davinci-003","Spell the word Giggle backwards",1,"

elggig","ELGGIG","ELGGIG",TRUE,"real_words",NA
"45","Humble",6,"text-davinci-003","Spell the word Humble backwards",1,"

elbmuh","ELBMUH","ELBMUH",TRUE,"real_words",NA
"46","Jumble",6,"text-davinci-003","Spell the word Jumble backwards",1,"

elbmuj","ELBMUJ","ELBMUJ",TRUE,"real_words",NA
"47","Kettle",6,"text-davinci-003","Spell the word Kettle backwards",1,"

ettelK","ELTTEK","ETTELK",FALSE,"real_words",NA
"48","Little",6,"text-davinci-003","Spell the word Little backwards",1,"

elttil","ELTTIL","ELTTIL",TRUE,"real_words",NA
"49","Muzzle",6,"text-davinci-003","Spell the word Muzzle backwards",1,"

Ezllum","ELZZUM","EZLLUM",FALSE,"real_words",NA
"50","Noodle",6,"text-davinci-003","Spell the word Noodle backwards",1,"

doolen","ELDOON","DOOLEN",FALSE,"real_words",NA
"51","Chasing",7,"text-davinci-003","Spell the word Chasing backwards",1,"

gnisahcC","GNISAHC","GNISAHCC",TRUE,"real_words",NA
"52","Blazing",7,"text-davinci-003","Spell the word Blazing backwards",1,"

gnizalb","GNIZALB","GNIZALB",TRUE,"real_words",NA
"53","Dazzled",7,"text-davinci-003","Spell the word Dazzled backwards",1,"

dezzalD","DELZZAD","DEZZALD",FALSE,"real_words",NA
"54","Eclipse",7,"text-davinci-003","Spell the word Eclipse backwards",1,"

epilcse","ESPILCE","EPILCSE",FALSE,"real_words",NA
"55","Fizzled",7,"text-davinci-003","Spell the word Fizzled backwards",1,"

dellizf","DELZZIF","DELLIZF",FALSE,"real_words",NA
"56","Glimmer",7,"text-davinci-003","Spell the word Glimmer backwards",1,"

remmilg","REMMILG","REMMILG",TRUE,"real_words",NA
"57","Hissing",7,"text-davinci-003","Spell the word Hissing backwards",1,"

gnissiH","GNISSIH","GNISSIH",TRUE,"real_words",NA
"58","Juggler",7,"text-davinci-003","Spell the word Juggler backwards",1,"

reggluj","RELGGUJ","REGGLUJ",FALSE,"real_words",NA
"59","Kingdom",7,"text-davinci-003","Spell the word Kingdom backwards",1,"

dnomuyK","MODGNIK","DNOMUYK",FALSE,"real_words",NA
"60","Drifted",7,"text-davinci-003","Spell the word Drifted backwards",1,"

terfidD","DETFIRD","TERFIDD",FALSE,"real_words",NA
"61","Bouncing",8,"text-davinci-003","Spell the word Bouncing backwards",1,"

gninuocnib","GNICNUOB","GNINUOCNIB",FALSE,"real_words",NA
"62","Clamping",8,"text-davinci-003","Spell the word Clamping backwards",1,"

gnimpmalC","GNIPMALC","GNIMPMALC",FALSE,"real_words",NA
"63","Dreaming",8,"text-davinci-003","Spell the word Dreaming backwards",1,"

gnimaerD","GNIMAERD","GNIMAERD",TRUE,"real_words",NA
"64","Haunting",8,"text-davinci-003","Spell the word Haunting backwards",1,"

gnitnuah","GNITNUAH","GNITNUAH",TRUE,"real_words",NA
"65","Laughing",8,"text-davinci-003","Spell the word Laughing backwards",1,"

gniffal","GNIHGUAL","GNIFFAL",FALSE,"real_words",NA
"66","Chanting",8,"text-davinci-003","Spell the word Chanting backwards",1,"

gnitnahc","GNITNAHC","GNITNAHC",TRUE,"real_words",NA
"67","Grinning",8,"text-davinci-003","Spell the word Grinning backwards",1,"

Nignirg","GNINNIRG","NIGNIRG",FALSE,"real_words",NA
"68","Swimming",8,"text-davinci-003","Spell the word Swimming backwards",1,"

gnimmiws","GNIMMIWS","GNIMMIWS",TRUE,"real_words",NA
"69","Accident",8,"text-davinci-003","Spell the word Accident backwards",1,"

tnediccaA","TNEDICCA","TNEDICCAA",TRUE,"real_words",NA
"70","Building",8,"text-davinci-003","Spell the word Building backwards",1,"

gnildniuB","GNIDLIUB","GNILDNIUB",FALSE,"real_words",NA
"71","Birthday",8,"text-davinci-003","Spell the word Birthday backwards",1,"

yadhtriB","YADHTRIB","YADHTRIB",TRUE,"real_words",NA
"72","Breathing",9,"text-davinci-003","Spell the word Breathing backwards",1,"

gnihtaeB","GNIHTAERB","GNIHTAEB",FALSE,"real_words",NA
"73","Backpacks",9,"text-davinci-003","Spell the word Backpacks backwards",1,"

skcappakcab","SKCAPKCAB","SKCAPPAKCAB",FALSE,"real_words",NA
"74","Adulthood",9,"text-davinci-003","Spell the word Adulthood backwards",1,"

tlufdlaA","DOOHTLUDA","TLUFDLAA",FALSE,"real_words",NA
"75","Equipping",9,"text-davinci-003","Spell the word Equipping backwards",1,"

gnippiuqE","GNIPPIUQE","GNIPPIUQE",TRUE,"real_words",NA
"76","Victimize",9,"text-davinci-003","Spell the word Victimize backwards",1,"

ezicimitV","EZIMITCIV","EZICIMITV",FALSE,"real_words",NA
"77","Knockoffs",9,"text-davinci-003","Spell the word Knockoffs backwards",1,"

Skoffockn","SFFOKCONK","SKOFFOCKN",FALSE,"real_words",NA
"78","Backtrack",9,"text-davinci-003","Spell the word Backtrack backwards",1,"

Kcartkcab","KCARTKCAB","KCARTKCAB",TRUE,"real_words",NA
"79","Chipmunks",9,"text-davinci-003","Spell the word Chipmunks backwards",1,"

Sknumpihc","SKNUMPIHC","SKNUMPIHC",TRUE,"real_words",NA
"80","Cyberpunk",9,"text-davinci-003","Spell the word Cyberpunk backwards",1,"

Knurpbyc","KNUPREBYC","KNURPBYC",FALSE,"real_words",NA
"81","Paychecks",9,"text-davinci-003","Spell the word Paychecks backwards",1,"

sekcyap","SKCEHCYAP","SEKCYAP",FALSE,"real_words",NA
"82","Delightful",10,"text-davinci-003","Spell the word Delightful backwards",1,"

fulteidl","LUFTHGILED","FULTEIDL",FALSE,"real_words",NA
"83","Enchanting",10,"text-davinci-003","Spell the word Enchanting backwards",1,"

gnitnahcne","GNITNAHCNE","GNITNAHCNE",TRUE,"real_words",NA
"84","Glittering",10,"text-davinci-003","Spell the word Glittering backwards",1,"

gnitteilg","GNIRETTILG","GNITTEILG",FALSE,"real_words",NA
"85","Strawberry",10,"text-davinci-003","Spell the word Strawberry backwards",1,"

yerrabwots","YRREBWARTS","YERRABWOTS",FALSE,"real_words",NA
"86","Friendship",10,"text-davinci-003","Spell the word Friendship backwards",1,"

tsipihpirt","PIHSDNEIRF","TSIPIHPIRT",FALSE,"real_words",NA
"87","Everything",10,"text-davinci-003","Spell the word Everything backwards",1,"

gnihtyrevE","GNIHTYREVE","GNIHTYREVE",TRUE,"real_words",NA
"88","Appreciate",10,"text-davinci-003","Spell the word Appreciate backwards",1,"

etaicirppa","ETAICERPPA","ETAICIRPPA",FALSE,"real_words",NA
"89","Motivation",10,"text-davinci-003","Spell the word Motivation backwards",1,"

noitavitom","NOITAVITOM","NOITAVITOM",TRUE,"real_words",NA
"90","Confidence",10,"text-davinci-003","Spell the word Confidence backwards",1,"

ecneidiffonC","ECNEDIFNOC","ECNEIDIFFONC",FALSE,"real_words",NA
"91","An",2,"text-davinci-003","Spell An backwards. Do it step-by-step and show the last result",2,"

Step 1: N

Step 2: A

Last Result",NA,"STEP1:NSTEP2:ALASTRESULT",FALSE,"real_words",NA
"92","As",2,"text-davinci-003","Spell As backwards. Do it step-by-step and show the last result",2,"

Step 1: spell

Step 2: lles

Step","SA","STEP1:SPELLSTEP2:LLESSTEP",FALSE,"real_words",NA
"93","At",2,"text-davinci-003","Spell At backwards. Do it step-by-step and show the last result",2,"

Step 1: Spell

Step 2: llapeS

","TA","STEP1:SPELLSTEP2:LLAPES",FALSE,"real_words",NA
"94","By",2,"text-davinci-003","Spell By backwards. Do it step-by-step and show the last result",2,"

Step 1: ylno

Step 2: only
","YB","STEP1:YLNOSTEP2:ONLY",FALSE,"real_words",NA
"95","Go",2,"text-davinci-003","Spell Go backwards. Do it step-by-step and show the last result",2,"

Step 1: Go
Step 2: oG
Step 3:","OG","STEP1:GOSTEP2:OGSTEP3:",TRUE,"real_words",NA
"96","He",2,"text-davinci-003","Spell He backwards. Do it step-by-step and show the last result",2,".

eH
H","EH",".EHH",TRUE,"real_words",NA
"97","In",2,"text-davinci-003","Spell In backwards. Do it step-by-step and show the last result",2,"

Step 1: Spell = lllaeP

Step 2:","NI","STEP1:SPELL=LLLAEPSTEP2:",FALSE,"real_words",NA
"98","Is",2,"text-davinci-003","Spell Is backwards. Do it step-by-step and show the last result",2,"

Step 1: Spell

Step 2: llapeS

","SI","STEP1:SPELLSTEP2:LLAPES",FALSE,"real_words",NA
"99","Of",2,"text-davinci-003","Spell Of backwards. Do it step-by-step and show the last result",2,"

Step 1: Spell Of

Step 2: fO lle","FO","STEP1:SPELLOFSTEP2:FOLLE",TRUE,"real_words",NA
"100","On",2,"text-davinci-003","Spell On backwards. Do it step-by-step and show the last result",2,".

elpmeS

eS-lp

lp","NO",".ELPMESESLPLP",FALSE,"real_words",NA
"101","Cat",3,"text-davinci-003","Spell Cat backwards. Do it step-by-step and show the last result",2,"

tac
ca
ac","TAC","TACCAAC",TRUE,"real_words",NA
"102","Dog",3,"text-davinci-003","Spell Dog backwards. Do it step-by-step and show the last result",2,".

g
o
w

gow","GOD",".GOWGOW",FALSE,"real_words",NA
"103","Car",3,"text-davinci-003","Spell Car backwards. Do it step-by-step and show the last result",2,"

R
A
C","RAC","RAC",TRUE,"real_words",NA
"104","Sun",3,"text-davinci-003","Spell Sun backwards. Do it step-by-step and show the last result",2,".

nus
su
us
Sun","NUS",".NUSSUUSSUN",TRUE,"real_words",NA
"105","Rat",3,"text-davinci-003","Spell Rat backwards. Do it step-by-step and show the last result",2,"

T
A
R","TAR","TAR",TRUE,"real_words",NA
"106","Man",3,"text-davinci-003","Spell Man backwards. Do it step-by-step and show the last result",2,"

N-A-M","NAM","NAM",TRUE,"real_words",NA
"107","Red",3,"text-davinci-003","Spell Red backwards. Do it step-by-step and show the last result",2,".

d-e-r

r-e-d","DER",".DERRED",TRUE,"real_words",NA
"108","Fun",3,"text-davinci-003","Spell Fun backwards. Do it step-by-step and show the last result",2,"

elpus

sulp

lupS","NUF","ELPUSSULPLUPS",FALSE,"real_words",NA
"109","Run",3,"text-davinci-003","Spell Run backwards. Do it step-by-step and show the last result",2," first

Result:

nalp
plan
","NUR","FIRSTRESULT:NALPPLAN",FALSE,"real_words",NA
"110","Hat",3,"text-davinci-003","Spell Hat backwards. Do it step-by-step and show the last result",2,".

tahS
h
a
t
Hat","TAH",".TAHSHATHAT",TRUE,"real_words",NA
"111","Fish",4,"text-davinci-003","Spell Fish backwards. Do it step-by-step and show the last result",2,"

h-s-i-F
F-i-s-","HSIF","HSIFFIS",TRUE,"real_words",NA
"112","Fire",4,"text-davinci-003","Spell Fire backwards. Do it step-by-step and show the last result",2,".

Step 1: reF
Step 2: erF
Step","ERIF",".STEP1:REFSTEP2:ERFSTEP",FALSE,"real_words",NA
"113","Fowl",4,"text-davinci-003","Spell Fowl backwards. Do it step-by-step and show the last result",2,"

wloF

Fwlo","LWOF","WLOFFWLO",FALSE,"real_words",NA
"114","Hill",4,"text-davinci-003","Spell Hill backwards. Do it step-by-step and show the last result",2,".

L
L L
H L L
L H L L","LLIH",".LLLHLLLHLL",FALSE,"real_words",NA
"115","Hair",4,"text-davinci-003","Spell Hair backwards. Do it step-by-step and show the last result",2,"

R
A
E
H

HaeR","RIAH","RAEHHAER",FALSE,"real_words",NA
"116","Hand",4,"text-davinci-003","Spell Hand backwards. Do it step-by-step and show the last result",2,"

drah
h
al
l
eH","DNAH","DRAHHALLEH",FALSE,"real_words",NA
"117","Moon",4,"text-davinci-003","Spell Moon backwards. Do it step-by-step and show the last result",2,".

nooM

Step 1: noo

Step","NOOM",".NOOMSTEP1:NOOSTEP",TRUE,"real_words",NA
"118","Star",4,"text-davinci-003","Spell Star backwards. Do it step-by-step and show the last result",2,".

r
a
t
S","RATS",".RATS",TRUE,"real_words",NA
"119","Tide",4,"text-davinci-003","Spell Tide backwards. Do it step-by-step and show the last result",2,".

Step 1: ediT
Step 2: ediT","EDIT",".STEP1:EDITSTEP2:EDIT",TRUE,"real_words",NA
"120","Wind",4,"text-davinci-003","Spell Wind backwards. Do it step-by-step and show the last result",2,".

dniw

w

nw

dnow","DNIW",".DNIWWNWDNOW",TRUE,"real_words",NA
"121","Apple",5,"text-davinci-003","Spell Apple backwards. Do it step-by-step and show the last result",2,"

eppla -> alppE -> Elppa","ELPPA","EPPLA>ALPPE>ELPPA",TRUE,"real_words",NA
"122","Bench",5,"text-davinci-003","Spell Bench backwards. Do it step-by-step and show the last result",2,"

hcneB hctep

pcehtB h","HCNEB","HCNEBHCTEPPCEHTBH",TRUE,"real_words",NA
"123","Chair",5,"text-davinci-003","Spell Chair backwards. Do it step-by-step and show the last result",2,".

1. Chair
2. Riahc
3. H","RIAHC",".1.CHAIR2.RIAHC3.H",TRUE,"real_words",NA
"124","Dance",5,"text-davinci-003","Spell Dance backwards. Do it step-by-step and show the last result",2,"

1. Step: Step back with your right foot
2. Step","ECNAD","1.STEP:STEPBACKWITHYOURRIGHTFOOT2.STEP",FALSE,"real_words",NA
"125","Eaten",5,"text-davinci-003","Spell Eaten backwards. Do it step-by-step and show the last result",2,"

Step 1: Eaten

Step 2: Neate

","NETAE","STEP1:EATENSTEP2:NEATE",FALSE,"real_words",NA
"126","Floor",5,"text-davinci-003","Spell Floor backwards. Do it step-by-step and show the last result",2,"

1. Floor
2. Roolf
3. Loorf","ROOLF","1.FLOOR2.ROOLF3.LOORF",TRUE,"real_words",NA
"127","Glass",5,"text-davinci-003","Spell Glass backwards. Do it step-by-step and show the last result",2,".

Ssalg
Lgass
Ssagl
","SSALG",".SSALGLGASSSSAGL",TRUE,"real_words",NA
"128","House",5,"text-davinci-003","Spell House backwards. Do it step-by-step and show the last result",2,".

e

se

esu

esuh
","ESUOH",".ESEESUESUH",FALSE,"real_words",NA
"129","Image",5,"text-davinci-003","Spell Image backwards. Do it step-by-step and show the last result",2,"

Step 1: Begin with the image of the spell

Step 2","EGAMI","STEP1:BEGINWITHTHEIMAGEOFTHESPELLSTEP2",FALSE,"real_words",NA
"130","Juice",5,"text-davinci-003","Spell Juice backwards. Do it step-by-step and show the last result",2,"

e-l-i-u-j
j-u-","ECIUJ","ELIUJJU",FALSE,"real_words",NA
"131","Bumble",6,"text-davinci-003","Spell Bumble backwards. Do it step-by-step and show the last result",2,"

elbmub

e-l-b-m-u","ELBMUB","ELBMUBELBMU",TRUE,"real_words",NA
"132","Cuddle",6,"text-davinci-003","Spell Cuddle backwards. Do it step-by-step and show the last result",2,".

Step 1: Dooglec
Step 2: Elgooc","ELDDUC",".STEP1:DOOGLECSTEP2:ELGOOC",FALSE,"real_words",NA
"133","Flurry",6,"text-davinci-003","Spell Flurry backwards. Do it step-by-step and show the last result",2,"

yrullfF lleps

y = y
","YRRULF","YRULLFFLLEPSY=Y",FALSE,"real_words",NA
"134","Giggle",6,"text-davinci-003","Spell Giggle backwards. Do it step-by-step and show the last result",2,"

e
g
g
i
l
l
e
","ELGGIG","EGGILLE",FALSE,"real_words",NA
"135","Humble",6,"text-davinci-003","Spell Humble backwards. Do it step-by-step and show the last result",2,".

elbmuh

e + l + b + m +","ELBMUH",".ELBMUHE+L+B+M+",TRUE,"real_words",NA
"136","Jumble",6,"text-davinci-003","Spell Jumble backwards. Do it step-by-step and show the last result",2,".

elbmuj

j
mu
lbe
j","ELBMUJ",".ELBMUJJMULBEJ",TRUE,"real_words",NA
"137","Kettle",6,"text-davinci-003","Spell Kettle backwards. Do it step-by-step and show the last result",2,"

Step 1: Kettle

Step 2: Elttel
","ELTTEK","STEP1:KETTLESTEP2:ELTTEL",FALSE,"real_words",NA
"138","Little",6,"text-davinci-003","Spell Little backwards. Do it step-by-step and show the last result",2,".

elttil
littel","ELTTIL",".ELTTILLITTEL",TRUE,"real_words",NA
"139","Muzzle",6,"text-davinci-003","Spell Muzzle backwards. Do it step-by-step and show the last result",2,"

Step 1: Elzzum
Step 2: ElzzuM","ELZZUM","STEP1:ELZZUMSTEP2:ELZZUM",TRUE,"real_words",NA
"140","Noodle",6,"text-davinci-003","Spell Noodle backwards. Do it step-by-step and show the last result",2,"

e
l
d
o
o
n

N","ELDOON","ELDOONN",TRUE,"real_words",NA
"141","Chasing",7,"text-davinci-003","Spell Chasing backwards. Do it step-by-step and show the last result",2,"

Result:

Step 1: singahC hceT
","GNISAHC","RESULT:STEP1:SINGAHCHCET",FALSE,"real_words",NA
"142","Blazing",7,"text-davinci-003","Spell Blazing backwards. Do it step-by-step and show the last result",2,"

Ezalb

Lbaez

Zebla","GNIZALB","EZALBLBAEZZEBLA",FALSE,"real_words",NA
"143","Dazzled",7,"text-davinci-003","Spell Dazzled backwards. Do it step-by-step and show the last result",2,".

Step 1: Dazzled <U+2192> 

Step 2:","DELZZAD",".STEP1:DAZZLED<U+2192>STEP2:",FALSE,"real_words",NA
"144","Eclipse",7,"text-davinci-003","Spell Eclipse backwards. Do it step-by-step and show the last result",2,".

p-e-l-c-c-e-s","ESPILCE",".PELCCES",FALSE,"real_words",NA
"145","Fizzled",7,"text-davinci-003","Spell Fizzled backwards. Do it step-by-step and show the last result",2,"

Step 1: Zillziff
Step 2: Ziffz","DELZZIF","STEP1:ZILLZIFFSTEP2:ZIFFZ",FALSE,"real_words",NA
"146","Glimmer",7,"text-davinci-003","Spell Glimmer backwards. Do it step-by-step and show the last result",2,"

rempilg

G = g
I = i
","REMMILG","REMPILGG=GI=I",FALSE,"real_words",NA
"147","Hissing",7,"text-davinci-003","Spell Hissing backwards. Do it step-by-step and show the last result",2,"

Step 1: Ssih
Step 2: SsiH
","GNISSIH","STEP1:SSIHSTEP2:SSIH",FALSE,"real_words",NA
"148","Juggler",7,"text-davinci-003","Spell Juggler backwards. Do it step-by-step and show the last result",2,".

reggluJ Gluj

reggluJ","RELGGUJ",".REGGLUJGLUJREGGLUJ",FALSE,"real_words",NA
"149","Kingdom",7,"text-davinci-003","Spell Kingdom backwards. Do it step-by-step and show the last result",2,"

gnimyK","MODGNIK","GNIMYK",FALSE,"real_words",NA
"150","Drifted",7,"text-davinci-003","Spell Drifted backwards. Do it step-by-step and show the last result",2,"

Step 1: Drifted
Step 2: Tterfid
","DETFIRD","STEP1:DRIFTEDSTEP2:TTERFID",FALSE,"real_words",NA
"151","Bouncing",8,"text-davinci-003","Spell Bouncing backwards. Do it step-by-step and show the last result",2,"

Step 1: Bouncing

Step 2: gninnocB","GNICNUOB","STEP1:BOUNCINGSTEP2:GNINNOCB",FALSE,"real_words",NA
"152","Clamping",8,"text-davinci-003","Spell Clamping backwards. Do it step-by-step and show the last result",2,"

Step 1: gnamppalC

Step 2: l","GNIPMALC","STEP1:GNAMPPALCSTEP2:L",FALSE,"real_words",NA
"153","Dreaming",8,"text-davinci-003","Spell Dreaming backwards. Do it step-by-step and show the last result",2,"

Step 1: gnimaeS

Step 2: gnima","GNIMAERD","STEP1:GNIMAESSTEP2:GNIMA",FALSE,"real_words",NA
"154","Haunting",8,"text-davinci-003","Spell Haunting backwards. Do it step-by-step and show the last result",2,"

G
N
A
U
T
N
I
","GNITNUAH","GNAUTNI",FALSE,"real_words",NA
"155","Laughing",8,"text-davinci-003","Spell Laughing backwards. Do it step-by-step and show the last result",2,"

Step 1: gnihgual
Step 2: laugnih","GNIHGUAL","STEP1:GNIHGUALSTEP2:LAUGNIH",TRUE,"real_words",NA
"156","Chanting",8,"text-davinci-003","Spell Chanting backwards. Do it step-by-step and show the last result",2,"

Step 1: gnitahcS

Step 2: h","GNITNAHC","STEP1:GNITAHCSSTEP2:H",FALSE,"real_words",NA
"157","Grinning",8,"text-davinci-003","Spell Grinning backwards. Do it step-by-step and show the last result",2,"

Step 1: NIGRIN
Step 2: NIRG","GNINNIRG","STEP1:NIGRINSTEP2:NIRG",FALSE,"real_words",NA
"158","Swimming",8,"text-davinci-003","Spell Swimming backwards. Do it step-by-step and show the last result",2,"

Step 1: Push off the wall with your feet and extend your arms","GNIMMIWS","STEP1:PUSHOFFTHEWALLWITHYOURFEETANDEXTENDYOURARMS",FALSE,"real_words",NA
"159","Accident",8,"text-davinci-003","Spell Accident backwards. Do it step-by-step and show the last result",2,"

tnedicca

tnec

tne

","TNEDICCA","TNEDICCATNECTNE",TRUE,"real_words",NA
"160","Building",8,"text-davinci-003","Spell Building backwards. Do it step-by-step and show the last result",2,"

Step 1: 

Add the suffix ""-ing"" to the","GNIDLIUB","STEP1:ADDTHESUFFIX""ING""TOTHE",FALSE,"real_words",NA
"161","Birthday",8,"text-davinci-003","Spell Birthday backwards. Do it step-by-step and show the last result",2,"

yadtsreB","YADHTRIB","YADTSREB",FALSE,"real_words",NA
"162","Breathing",9,"text-davinci-003","Spell Breathing backwards. Do it step-by-step and show the last result",2,"

Step 1: gnihcaerb
Step 2: rebihc","GNIHTAERB","STEP1:GNIHCAERBSTEP2:REBIHC",FALSE,"real_words",NA
"163","Backpacks",9,"text-davinci-003","Spell Backpacks backwards. Do it step-by-step and show the last result",2,"

Step 1: skcacpak
Step 2: kc","SKCAPKCAB","STEP1:SKCACPAKSTEP2:KC",FALSE,"real_words",NA
"164","Adulthood",9,"text-davinci-003","Spell Adulthood backwards. Do it step-by-step and show the last result",2,"

d

l

u

t

d
","DOOHTLUDA","DLUTD",FALSE,"real_words",NA
"165","Equipping",9,"text-davinci-003","Spell Equipping backwards. Do it step-by-step and show the last result",2,"

1. Un-equip the spell 
2. Remove the","GNIPPIUQE","1.UNEQUIPTHESPELL2.REMOVETHE",FALSE,"real_words",NA
"166","Victimize",9,"text-davinci-003","Spell Victimize backwards. Do it step-by-step and show the last result",2,".

e

i

z

i

t","EZIMITCIV",".EIZIT",FALSE,"real_words",NA
"167","Knockoffs",9,"text-davinci-003","Spell Knockoffs backwards. Do it step-by-step and show the last result",2,"

Step 1: sfoffkcolK

Step 2:","SFFOKCONK","STEP1:SFOFFKCOLKSTEP2:",FALSE,"real_words",NA
"168","Backtrack",9,"text-davinci-003","Spell Backtrack backwards. Do it step-by-step and show the last result",2,".

kcarttakc ->
ckattarkc ->
","KCARTKCAB",".KCARTTAKC>CKATTARKC>",FALSE,"real_words",NA
"169","Chipmunks",9,"text-davinci-003","Spell Chipmunks backwards. Do it step-by-step and show the last result",2,"

Step 1: sknupmuhC kipmuhC","SKNUMPIHC","STEP1:SKNUPMUHCKIPMUHC",FALSE,"real_words",NA
"170","Cyberpunk",9,"text-davinci-003","Spell Cyberpunk backwards. Do it step-by-step and show the last result",2,".

K

N

U

P

Y","KNUPREBYC",".KNUPY",FALSE,"real_words",NA
